,valid_time,latitude,longitude,site_name,horizon,GHI,Clear sky GHI,GHI_NWP_ens_000,GHI_NWP_ens_001,GHI_NWP_ens_002,GHI_NWP_ens_003,GHI_NWP_ens_004,GHI_NWP_ens_005,GHI_NWP_ens_006,GHI_NWP_ens_007,GHI_NWP_ens_008,GHI_NWP_ens_009,GHI_NWP_ens_010,GHI_NWP_ens_011,GHI_NWP_ens_012,GHI_NWP_ens_013,GHI_NWP_ens_014,GHI_NWP_ens_015,GHI_NWP_ens_016,GHI_NWP_ens_017,GHI_NWP_ens_018,GHI_NWP_ens_019,GHI_NWP_ens_020,GHI_NWP_ens_021,GHI_NWP_ens_022,GHI_NWP_ens_023,GHI_NWP_ens_024,GHI_NWP_ens_025,GHI_NWP_ens_026,GHI_NWP_ens_027,GHI_NWP_ens_028,GHI_NWP_ens_029,GHI_NWP_ens_030,GHI_NWP_ens_031,GHI_NWP_ens_032,GHI_NWP_ens_033,GHI_NWP_ens_034
147,2019-01-03 09:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 15:45:00,69.9338,83.5348,72.25938370092769,72.81311629064312,72.52891141839339,73.18833885755359,73.52865666155162,73.57649988301971,72.7032120808896,73.567537456391,64.52031522320242,73.28501894503168,73.0624651009199,72.27023528788146,73.37623362408954,68.90432800421816,73.18375951548053,72.74120608250213,73.40693338797142,72.60800537855152,72.71528046445135,72.00045025500404,72.53663088074514,71.79216287864907,72.93446158678236,73.05378615737189,72.58035705562564,71.89586389709282,72.77146608416906,72.48172456928911,72.16852373916056,72.81008011416071,67.2189992829859,67.26417994413438,72.28312649925698,72.41144984045994,72.51703929234907
148,2019-01-03 10:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 16:00:00,79.5348,89.2992,77.78247266328475,78.37852936646081,78.07260151910981,78.78243177412814,79.14876150087844,79.20026158121911,78.26022471517685,79.19061411858465,69.45187459453555,78.88650152778773,78.64693695625219,77.79415368272271,78.98468812884806,74.17097593237979,78.77750241365798,78.30112275831583,79.0177344049524,78.1577409636876,78.27321553611115,77.5037478437855,78.08091101247379,77.27954018620997,78.50914959453851,78.63759464450396,78.12797936302034,77.39116751015229,78.33369565932742,78.02180798043652,77.68466789205131,78.37526112222528,72.3568304404883,72.40546444981274,77.8080302236653,77.94616185817372,78.05982195648136
149,2019-01-03 10:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 16:15:00,83.1017,94.2876,82.62608890312802,83.25926283629845,82.9342844620239,83.68831677481974,84.0774583324732,84.13216539013088,83.13359119974662,84.12191716738826,73.77673360396686,83.7988670880661,83.5443845175335,82.63849731491429,83.90316789711117,78.78969955031226,83.68308045663008,83.17703601748843,83.93827200802234,83.02472565109872,83.1473909760804,82.33000752480585,82.94311139840076,82.09183816333808,83.39801695670825,83.53446044782166,82.99311075665744,82.21041666664696,83.21163727562106,82.88032794330674,82.52219370095224,83.25579107422254,76.86258484742638,76.91424736007949,82.65323796619899,82.7999712381359,82.92070909932681
150,2019-01-03 10:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 16:30:00,95.0056,98.4664,86.75608249750258,87.42090508211992,87.07968294486591,87.87140491068948,88.27999737255186,88.33743891517298,87.28895185750258,88.32667844387979,77.46439982710726,87.98748098573365,87.72027832400309,86.76911113302052,88.09699518051394,82.72793454080043,87.86590685966377,87.33456822688584,88.13385394004908,87.17464475855826,87.30344140372164,86.44520174755193,87.08895108802355,86.19512769653275,87.56659470723645,87.70985820824956,87.1414496209606,86.31963324377652,87.3708989989812,87.02302945622513,86.64699418350014,87.41725978701922,80.70449467616235,80.75873949482994,86.78458858301119,86.93865619064309,87.0654290294051
151,2019-01-03 10:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 16:45:00,101.8084,101.8084,90.1448125756116,90.83560341771872,90.48105299630821,91.30369996429707,91.72825222431243,91.78793745841442,90.69849604311798,91.77675667846185,80.4901927642692,91.42431002100025,91.14667030781817,90.15835011526381,91.53810188756043,85.95932341876544,91.29798715702205,90.74589420760462,91.57640036617327,90.57972405948567,90.7135515572747,89.82178868920602,90.49068315714327,89.56194663767268,90.98698374255898,91.13584317783979,90.54523230546657,89.69131542540276,90.7836440753601,90.42218659791564,90.03146322491654,90.8318157358159,83.85684711848907,83.91321076321829,90.17443212114041,90.33451767611406,90.466242316749
152,2019-01-03 11:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 17:00:00,104.293,104.293,92.77042409079894,93.48133531851451,93.11645805030525,93.96306592397877,94.39998394604794,94.46140760783608,93.34023447283892,94.44990116982562,82.83459807105544,94.08718894104739,93.80146252817427,92.7843559328961,94.20429517730491,88.46302588324963,93.95718672207562,93.38901318450202,94.24370916022231,93.21800306565247,93.35572850287033,92.43799161823522,93.126368704942,92.17058125230703,93.63712483688147,93.79032004075782,93.18250668425722,92.30371811242048,93.42786257739539,93.05587707412323,92.65377325938724,93.47743731433205,86.29931160569328,86.35731693151772,92.80090635285679,92.96565465507615,93.10121598606969
153,2019-01-03 11:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 17:15:00,105.9049,105.9049,94.61648620654026,95.34154403645155,94.96940598326327,95.83286072098636,96.27847308520315,96.3411190319614,95.19763538938608,96.32938362443284,84.48294467365334,95.95945369334241,95.66804153836515,94.63069528188444,96.07889025619261,90.22337399340888,95.82686452735862,95.24738476096091,96.11908854791756,95.07297166853533,95.21343773903706,94.27743857618616,94.97951385252145,94.00470694380118,95.50043364981866,95.65667732377545,95.03676893567535,94.14049312794299,95.28700722774221,94.907619490925,94.49751411075202,95.33756846489868,88.0166034185872,88.07576300705047,94.64757504283487,94.81560171315854,94.95386061333922
154,2019-01-03 11:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 17:30:00,106.6345,106.6345,95.67176628768757,96.4049108593102,96.02862226227157,96.90170731519893,97.35228969965982,97.41563435150033,96.25939716501838,97.403768056192,85.42520296589389,97.02971220895999,96.73504986519553,95.6861338402146,97.15048087608493,91.229656653508,96.89564424460343,96.3097014031178,97.19112750887868,96.13334304016162,96.27537576201789,95.32893717880665,96.03884286698968,95.05316370592755,96.56557260616916,96.72355890282884,96.09673652964722,95.19046434554286,96.34976578865594,95.96614665054973,95.55146726793575,96.40089094726616,88.9982734437784,89.05809285314412,95.70320186513698,95.87310257671288,96.0129035111547
155,2019-01-03 11:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 17:45:00,106.4776,106.4776,95.92234219490253,96.65740696067732,96.28013281837036,97.1555045864667,97.60726710059532,97.67077765972718,96.51151214845098,97.65888028515872,85.64894188660989,97.2838447404997,96.98841064047971,95.93674737778433,97.4049297153453,91.46859813925545,97.14942563595726,96.56194813942366,97.44568280657799,96.38512787262158,96.52753259532527,95.57861517519261,96.29038019208625,95.30211941829145,96.81848950004944,96.97688958189516,96.3484254852363,95.43977966485946,96.60211745842487,96.21749357547819,95.8017280974932,96.65337651999829,89.2313706674847,89.29134675110609,95.95386010592475,96.12420580797792,96.26437289794646
156,2019-01-03 12:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 18:00:00,105.4017,105.4017,95.11852353514321,95.7078405082174,95.46449454188479,96.07894594021361,96.84589998569754,96.68973375508766,95.74310835600907,96.83380716042737,83.40304470653346,96.43481584047085,96.24541474153595,95.09802921468679,96.72127822362367,90.91624587813018,96.1944528193845,95.96834548361977,96.47706325691198,95.58433681547237,95.81888230548981,94.95171548923234,95.44110396958652,93.97626083972081,96.11091558350674,96.1108604582231,95.58495546837037,94.6972831030214,95.86914247593566,95.31618092990018,94.97112194447911,95.73270746573233,90.40831805074528,87.1015830265485,95.22435523245463,95.34212539328874,95.33184748680614
